User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL,Result FSM,Result RL
18,50.0,0.0,42.857,14.286,23.077,6.25,4.468,6.695,3.69,4.391,0.699,0.6,10.815,17.937,66.331,73.019,24.667,31.207,11.778,21.061,41.222,39.277,36.889,47.809,48.507,16.066,12.687,18.033,5.222,6.61,87.222,60.184,59.556,52.037,17.933,20.753,43.233,73.472,1,1,1-1,0-2
18.25,0.0,0.0,18.182,18.182,20.0,18.182,4.223,6.49,5.349,4.208,0.858,0.481,9.104,9.745,93.128,68.436,26.193,22.459,7.635,6.873,26.723,37.561,45.705,34.753,29.67,25.287,32.967,37.931,2.863,2.323,43.054,94.676,55.249,25.653,17.316,11.141,20.444,23.132,3,3,0-3,0-3
18.5,0.0,50.0,10.0,50.0,6.25,50.0,6.585,4.852,6.411,5.25,0.774,0.636,10.712,13.761,62.335,60.054,33.464,25.243,17.582,6.796,43.856,29.935,42.745,58.9,13.871,52.174,22.258,17.391,3.987,1.942,37.712,100.0,45.752,28.479,15.061,19.901,41.039,18.405,3,2,0-3,1-1
18.75,33.333,33.333,42.857,36.364,25.0,17.391,6.55,4.163,6.516,4.826,0.921,0.949,10.632,13.558,73.684,52.764,37.144,19.063,12.363,18.094,43.873,35.703,45.678,47.173,39.55,45.07,8.682,33.099,5.306,3.069,53.282,63.489,44.201,57.431,15.549,17.113,53.913,31.25,3,3,1-2,1-2
19.0,0.0,0.0,0.0,10.0,0.0,11.111,8.98,4.327,1.371,1.794,0.113,0.406,13.308,16.774,48.402,41.418,27.405,20.775,6.791,7.16,34.115,32.864,36.378,34.155,40.164,21.769,23.77,11.565,6.063,5.164,46.079,45.423,56.103,21.831,13.228,17.705,27.344,24.018,2,2,0-3,0-3
19.25,0.0,0.0,10.0,30.769,9.091,13.333,6.295,4.518,2.391,4.139,0.267,0.746,9.175,13.4,65.638,43.046,29.213,31.882,7.282,7.314,35.055,42.937,34.124,45.226,55.66,38.372,5.66,27.907,4.826,3.183,31.414,41.206,26.334,49.023,16.413,16.425,28.706,49.039,3,3,0-3,0-3
19.5,33.333,100.0,36.364,75.0,26.667,31.034,4.176,4.046,2.279,5.012,0.382,1.109,11.036,16.91,72.493,73.436,38.889,26.473,7.667,6.029,49.667,39.848,42.556,60.083,37.5,25.0,22.5,31.481,15.444,7.97,61.667,71.171,39.222,35.62,13.913,23.023,22.991,39.793,3,3,1-2,3-0
19.75,0.0,0.0,0.0,18.182,0.0,14.286,6.154,3.57,3.25,3.72,0.417,0.674,12.312,13.85,46.04,90.729,24.71,20.813,13.29,9.45,42.903,33.134,37.742,26.794,39.918,47.826,32.51,33.696,7.032,4.904,67.806,38.397,28.839,53.708,17.708,17.512,30.269,19.565,4,3,0-4,0-3
20.0,25.0,50.0,38.889,37.5,30.435,18.75,5.666,7.193,7.407,7.984,1.096,0.989,12.462,11.062,49.184,50.118,16.71,26.688,24.987,9.068,40.65,35.627,51.336,62.637,33.519,16.216,53.333,25.338,3.248,5.595,65.375,26.688,44.735,40.707,21.024,27.199,37.526,122.394,3,1,1-3,1-1
20.25,25.0,50.0,31.25,50.0,15.625,21.739,5.928,6.138,6.26,7.155,0.868,1.081,14.583,13.544,37.158,73.978,16.463,20.985,14.923,7.443,37.505,41.466,48.835,55.68,33.691,26.38,47.854,39.264,3.04,4.533,71.852,21.768,40.742,34.247,19.78,23.352,52.855,81.856,4,2,1-3,1-1
20.5,0.0,50.0,14.286,62.5,6.897,19.231,4.896,7.11,7.191,13.517,1.082,1.86,13.321,15.541,40.448,63.105,22.407,21.741,14.53,6.998,36.252,41.56,53.963,57.479,36.339,39.216,43.443,26.797,10.421,9.562,36.986,44.925,27.935,43.643,18.18,23.389,42.344,47.946,4,2,0-4,1-1
20.75,0.0,66.667,11.765,36.364,12.5,14.286,5.112,5.42,6.593,5.828,0.775,1.066,13.48,14.473,36.563,56.335,15.355,12.879,8.883,13.434,37.627,35.253,41.434,48.535,33.333,29.45,46.552,55.016,12.627,4.697,70.305,78.889,19.607,33.586,20.846,20.521,24.137,55.342,5,3,0-5,2-1
